,Date,Open,High,Low,Close,Volume,Turnover
0,2020-01-02,5.0,5.0,5.0,5.0,0.0,0.0
1,2020-01-03,9.0,9.0,9.0,9.0,0.0,0.0
2,2020-01-06,8.0,8.0,8.0,8.0,0.0,0.0
3,2020-01-07,11.0,11.0,11.0,11.0,0.0,0.0
4,2020-01-08,11.0,11.0,11.0,11.0,0.0,0.0
5,2020-01-09,13.0,13.0,13.0,13.0,0.0,0.0
6,2020-01-10,20.0,20.0,20.0,20.0,0.0,0.0
7,2020-01-13,23.0,23.0,23.0,23.0,0.0,0.0
8,2020-01-14,8.0,8.0,8.0,8.0,0.0,0.0
9,2020-01-15,7.0,7.0,7.0,7.0,0.0,0.0
10,2020-01-16,6.0,6.0,6.0,6.0,0.0,0.0
11,2020-01-17,7.0,7.0,7.0,7.0,0.0,0.0
12,2020-01-21,27.0,27.0,27.0,27.0,0.0,0.0
13,2020-01-22,29.0,29.0,29.0,29.0,0.0,0.0
14,2020-01-23,45.0,45.0,45.0,45.0,0.0,0.0
15,2020-01-24,63.0,63.0,63.0,63.0,0.0,0.0
16,2020-01-27,102.0,102.0,102.0,102.0,0.0,0.0
17,2020-01-28,57.0,57.0,57.0,57.0,0.0,0.0
18,2020-01-29,59.0,59.0,59.0,59.0,0.0,0.0
19,2020-01-30,111.0,111.0,111.0,111.0,0.0,0.0
20,2020-01-31,114.0,114.0,114.0,114.0,0.0,0.0
21,2020-02-03,85.0,85.0,85.0,85.0,0.0,0.0
22,2020-02-04,46.0,46.0,46.0,46.0,0.0,0.0
23,2020-02-05,16.0,16.0,16.0,16.0,0.0,0.0
24,2020-02-06,32.0,32.0,32.0,32.0,0.0,0.0
25,2020-02-07,64.0,64.0,64.0,64.0,0.0,0.0
26,2020-02-10,86.0,86.0,86.0,86.0,0.0,0.0
27,2020-02-11,45.0,45.0,45.0,45.0,0.0,0.0
28,2020-02-12,35.0,35.0,35.0,35.0,0.0,0.0
29,2020-02-13,46.0,46.0,46.0,46.0,0.0,0.0
30,2020-02-14,57.0,57.0,57.0,57.0,0.0,0.0
31,2020-02-18,75.0,75.0,75.0,75.0,0.0,0.0
32,2020-02-19,59.0,59.0,59.0,59.0,0.0,0.0
33,2020-02-20,61.0,61.0,61.0,61.0,0.0,0.0
34,2020-02-21,87.0,87.0,87.0,87.0,0.0,0.0
35,2020-02-24,245.0,245.0,245.0,245.0,0.0,0.0
36,2020-02-25,367.0,367.0,367.0,367.0,0.0,0.0
37,2020-02-26,352.0,352.0,352.0,352.0,0.0,0.0
38,2020-02-27,696.0,696.0,696.0,696.0,0.0,0.0
39,2020-02-28,938.0,938.0,938.0,938.0,0.0,0.0
40,2020-03-02,175.0,175.0,175.0,175.0,0.0,0.0
41,2020-03-03,171.0,171.0,171.0,171.0,0.0,0.0
42,2020-03-04,134.0,134.0,134.0,134.0,0.0,0.0
43,2020-03-05,389.0,389.0,389.0,389.0,0.0,0.0
44,2020-03-06,714.0,714.0,714.0,714.0,0.0,0.0
45,2020-03-09,1620.0,1620.0,1620.0,1620.0,0.0,0.0
46,2020-03-10,688.0,688.0,688.0,688.0,0.0,0.0
47,2020-03-11,1129.0,1129.0,1129.0,1129.0,0.0,0.0
48,2020-03-12,2377.0,2377.0,2377.0,2377.0,0.0,0.0
49,2020-03-13,644.0,644.0,644.0,644.0,0.0,0.0
50,2020-03-16,2002.0,2002.0,2002.0,2002.0,0.0,0.0
51,2020-03-17,1324.0,1324.0,1324.0,1324.0,0.0,0.0
52,2020-03-18,2233.0,2233.0,2233.0,2233.0,0.0,0.0
53,2020-03-19,1051.0,1051.0,1051.0,1051.0,0.0,0.0
54,2020-03-20,299.0,299.0,299.0,299.0,0.0,0.0
55,2020-03-23,805.0,805.0,805.0,805.0,0.0,0.0
56,2020-03-24,87.0,87.0,87.0,87.0,0.0,0.0
57,2020-03-25,54.0,54.0,54.0,54.0,0.0,0.0
58,2020-03-26,21.0,21.0,21.0,21.0,0.0,0.0
59,2020-03-27,43.0,43.0,43.0,43.0,0.0,0.0
60,2020-03-30,59.0,59.0,59.0,59.0,0.0,0.0
61,2020-03-31,29.0,29.0,29.0,29.0,0.0,0.0
62,2020-04-01,116.0,116.0,116.0,116.0,0.0,0.0
63,2020-04-02,117.0,117.0,117.0,117.0,0.0,0.0
64,2020-04-03,180.0,180.0,180.0,180.0,0.0,0.0
65,2020-04-06,20.0,20.0,20.0,20.0,0.0,0.0
66,2020-04-07,16.0,16.0,16.0,16.0,0.0,0.0
67,2020-04-08,6.0,6.0,6.0,6.0,0.0,0.0
68,2020-04-09,2.0,2.0,2.0,2.0,0.0,0.0
69,2020-04-13,9.0,9.0,9.0,9.0,0.0,0.0
70,2020-04-14,6.0,6.0,6.0,6.0,0.0,0.0
71,2020-04-15,22.0,22.0,22.0,22.0,0.0,0.0
72,2020-04-16,32.0,32.0,32.0,32.0,0.0,0.0
73,2020-04-17,10.0,10.0,10.0,10.0,0.0,0.0
74,2020-04-20,14.0,14.0,14.0,14.0,0.0,0.0
75,2020-04-21,31.0,31.0,31.0,31.0,0.0,0.0
76,2020-04-22,22.0,22.0,22.0,22.0,0.0,0.0
