,Date,Open,High,Low,Close,Volume,Turnover
0,2020-01-02,15.6,15.88,15.18,15.19,0.0,0.0
1,2020-01-03,16.59,16.88,15.61,16.01,0.0,0.0
2,2020-01-06,16.78,16.78,15.79,15.92,0.0,0.0
3,2020-01-07,15.92,16.29,15.64,15.86,0.0,0.0
4,2020-01-08,15.94,15.96,15.16,15.4,0.0,0.0
5,2020-01-09,15.18,15.4,14.95,14.95,0.0,0.0
6,2020-01-10,15.01,15.18,14.78,14.95,0.0,0.0
7,2020-01-13,15.02,15.16,14.64,14.64,0.0,0.0
8,2020-01-14,14.74,15.04,14.51,14.64,0.0,0.0
9,2020-01-15,14.77,14.9,14.58,14.63,0.0,0.0
10,2020-01-16,14.46,14.52,14.37,14.45,0.0,0.0
11,2020-01-17,14.46,14.67,14.25,14.41,0.0,0.0
12,2020-01-21,14.88,14.96,14.6,14.87,0.0,0.0
13,2020-01-22,14.75,14.98,14.61,14.98,0.0,0.0
14,2020-01-23,14.98,15.65,14.97,14.99,0.0,0.0
15,2020-01-24,14.88,16.7,14.84,16.07,0.0,0.0
16,2020-01-27,16.04,18.19,16.04,18.16,0.0,0.0
17,2020-01-28,17.46,17.66,16.75,17.03,0.0,0.0
18,2020-01-29,16.59,17.19,16.46,17.03,0.0,0.0
19,2020-01-30,17.72,18.2,16.48,16.59,0.0,0.0
20,2020-01-31,17.27,19.35,17.22,18.63,0.0,0.0
21,2020-02-03,18.03,18.32,17.42,18.04,0.0,0.0
22,2020-02-04,16.87,16.95,16.54,16.7,0.0,0.0
23,2020-02-05,16.12,16.56,16.03,16.11,0.0,0.0
24,2020-02-06,16.05,16.26,15.8,15.89,0.0,0.0
25,2020-02-07,16.37,16.7,16.04,16.29,0.0,0.0
26,2020-02-10,16.65,16.67,16.07,16.13,0.0,0.0
27,2020-02-11,15.89,16.23,15.72,16.14,0.0,0.0
28,2020-02-12,15.88,15.93,15.35,15.36,0.0,0.0
29,2020-02-13,16.02,16.06,15.56,15.68,0.0,0.0
30,2020-02-14,15.61,15.97,15.5,15.5,0.0,0.0
31,2020-02-18,16.16,16.48,15.88,16.1,0.0,0.0
32,2020-02-19,15.91,15.99,15.76,15.82,0.0,0.0
33,2020-02-20,16.03,17.29,15.82,16.6,0.0,0.0
34,2020-02-21,17.1,18.18,17.1,17.61,0.0,0.0
35,2020-02-24,21.28,22.6,20.2,21.92,0.0,0.0
36,2020-02-25,20.71,25.06,20.71,23.86,0.0,0.0
37,2020-02-26,22.89,24.28,22.06,23.7,0.0,0.0
38,2020-02-27,26.33,29.97,24.91,29.92,0.0,0.0
39,2020-02-28,32.23,35.48,29.85,29.85,0.0,0.0
40,2020-03-02,28.66,30.66,26.72,27.7,0.0,0.0
41,2020-03-03,27.5,31.78,25.58,30.17,0.0,0.0
42,2020-03-04,27.5,29.17,26.47,27.51,0.0,0.0
43,2020-03-05,30.34,34.41,29.24,32.57,0.0,0.0
44,2020-03-06,38.5,41.26,34.84,35.46,0.0,0.0
45,2020-03-09,35.41,46.57,35.41,43.05,0.0,0.0
46,2020-03-10,38.28,44.02,38.19,39.44,0.0,0.0
47,2020-03-11,42.88,45.69,41.89,44.37,0.0,0.0
48,2020-03-12,44.41,57.74,44.41,57.24,0.0,0.0
49,2020-03-13,50.55,58.81,47.18,48.31,0.0,0.0
50,2020-03-16,48.31,68.71,48.31,67.7,0.0,0.0
51,2020-03-17,66.01,70.01,60.08,65.27,0.0,0.0
52,2020-03-18,65.27,79.58,64.4,72.98,0.0,0.0
